Date,Open,High,Low,Close,Volume
05/22/2025,"582.66","586.62","581.41","583.09","70,860,414"
05/21/2025,"588.44","592.58","581.82","582.86","95,197,664"
05/20/2025,"593.09","594.05","589.60","592.85","60,614,488"
05/19/2025,"588.10","595.54","588.10","594.85","68,168,516"
05/16/2025,"591.25","594.50","589.28","594.20","76,052,094"
05/15/2025,"585.56","590.97","585.10","590.46","71,268,148"
05/14/2025,"587.81","588.98","585.54","587.59","66,283,531"
05/13/2025,"583.41","589.08","582.84","586.84","67,947,234"
05/12/2025,"581.47","583.00","577.04","582.99","78,993,570"
05/09/2025,"566.48","567.50","562.76","564.34","37,603,434"
05/08/2025,"565.24","570.31","561.70","565.06","65,130,793"
05/07/2025,"560.15","563.82","556.04","561.15","55,733,230"
05/06/2025,"557.93","563.35","556.96","558.80","48,264,711"
05/05/2025,"562.57","566.65","561.70","563.51","38,659,219"
05/02/2025,"564.73","568.38","562.38","566.76","60,717,273"
05/01/2025,"560.37","564.07","557.86","558.47","63,186,152"
04/30/2025,"547.57","556.52","541.52","554.54","93,101,453"
04/29/2025,"548.91","555.45","548.55","554.32","47,775,121"
04/28/2025,"551.39","553.55","545.02","550.85","47,613,762"
04/25/2025,"546.65","551.05","543.69","550.64","61,119,594"
04/24/2025,"536.72","547.43","535.45","546.69","64,150,422"
04/23/2025,"540.43","545.43","533.88","535.42","90,590,656"
04/22/2025,"520.14","529.31","519.19","527.25","75,948,117"
